date,rank,team,games,wins,losses,draws,win_rate,games_behind,recent_10,streak,home_record,away_record,season,recent10_wins,recent10_draws,recent10_losses,recent10_win_rate,home_wins,home_draws,home_losses,home_win_rate,away_wins,away_draws,away_losses,away_win_rate,streak_type,streak_count,games_played_ratio,remaining_games,home_away_win_diff,month,win_rate_delta_30d,rank_delta_30d,recent20_win_rate,recent30_win_rate,games_behind_5th,wins_to_5th,prev_team_avg,prev_team_runs,prev_team_hits,prev_team_hr,prev_team_rbi,prev_team_tb,prev_team_pa,prev_team_ab,prev_team_obp,prev_team_slg,prev_team_ops,prev_team_bb,prev_team_so,prev_team_era,prev_team_whip,prev_team_runs_allowed,prev_team_er,prev_team_hr_allowed,prev_team_bb_allowed,prev_team_so_pitcher,prev_team_ip,prev_team_errors,prev_team_fpct,prev_team_dp,prev_team_pb,prev_team_sb_allowed,prev_team_cs_defense,prev_team_cs_rate,prev_team_sba,prev_team_sb,prev_team_cs,prev_team_sb_rate,prev_team_oob,prev_team_runner_pko,prev_run_differential,prev_pythagorean_win_rate,prev_k_bb_ratio,prev_iso,prev_bb_rate,prev_top5_hitter_avg,prev_top5_hitter_hr_sum,prev_top5_hitter_rbi_sum,prev_top5_hitter_ops_avg,prev_top3_hitter_ops_avg,prev_ops_concentration,prev_top5_hitter_obp_avg,prev_top5_hitter_slg_avg,prev_top5_pitcher_era_avg,prev_top5_pitcher_whip_avg,prev_top5_pitcher_ip_sum,prev_top5_pitcher_so_sum,prev_ace_era,prev_ace_era_gap,avg3yr_pythagorean_win_rate,trend_pythagorean_win_rate,avg3yr_run_differential,trend_run_differential,avg3yr_team_era,trend_team_era,avg3yr_top5_pitcher_era_avg,trend_top5_pitcher_era_avg,avg3yr_k_bb_ratio,trend_k_bb_ratio,avg3yr_top5_hitter_ops_avg,trend_top5_hitter_ops_avg,avg3yr_ace_era,trend_ace_era,avg3yr_iso,trend_iso,avg3yr_ops_concentration,trend_ops_concentration,avg3yr_bb_rate,trend_bb_rate,dyn_pythagorean_win_rate,dyn_run_differential,dyn_team_era,dyn_k_bb_ratio,dyn_top5_hitter_ops_avg,dyn_ace_era,dyn_iso,dyn_ops_concentration,dyn_bb_rate,prob_raw,prob_norm,pred_rank
2026-04-12,4,SSG,13,7,6,0,0.538,2.0,4승0무6패,5패,4-0-3,3-0-3,2026,4.0,0.0,6.0,0.4,4.0,0.0,3.0,0.5714285714285714,3.0,0.0,3.0,0.5,-1,5,0.0902777777777777,131,0.0714285714285714,4,,,,,-1.0,0.0,0.256,609,1249,127,578,1833,5517,4875,0.33,0.376,0.706,493,1159,3.63,1.3,576,517,115,510,1193,1283.3333333333333,106,0.98,139,4,110,46,29.5,176,129,47,73.3,40,3,33,0.527826521332599,2.33921568627451,0.12,0.0893601595069784,0.2708,46,253,0.7232000000000001,0.7496666666666667,1.0365966076696165,0.3438,0.3794,3.478,1.22,635.6666666666666,649,1.6,1.878,0.4871537721748522,0.0647188472750427,-21.666666666666668,91.0,4.416666666666667,-1.62,4.146666666666667,-1.2680000000000002,1.9425147836912544,0.4423902894491132,0.7840666666666668,-0.1240000000000001,2.3633333333333333,-1.2999999999999998,0.1319999999999999,-0.0269999999999999,1.0550215668662242,-0.028087056164189,0.0875478263737302,0.0061301258607946,0.4431746121868447,-19.710648148148152,4.017939814814816,1.7671488657191274,0.7132828703703705,2.149976851851852,0.1200833333333332,0.9597765643019124,0.0796442031594351,0.5994738071805882,0.5895146078646548,4
2026-04-12,5,한화,13,6,7,0,0.462,3.0,4승0무6패,3패,2-0-6,4-0-1,2026,4.0,0.0,6.0,0.4,2.0,0.0,6.0,0.25,4.0,0.0,1.0,0.8,-1,3,0.0902777777777777,131,-0.55,4,,,,,0.0,0.0,0.266,689,1303,116,643,1933,5547,4892,0.335,0.395,0.73,439,1038,3.55,1.27,554,509,102,450,1339,1290.3333333333333,86,0.984,100,11,96,39,28.9,139,101,38,72.7,50,15,135,0.6073420270534788,2.9755555555555557,0.129,0.079141878492879,0.286,75,362,0.7956,0.8293333333333334,1.0423998659292777,0.3546,0.441,3.718,1.228,700.3333333333333,790,1.89,1.828,0.5018766555513193,0.1302807639724895,-1.3333333333333333,170.0,4.303333333333334,-1.4300000000000006,4.012,-0.9419999999999992,2.396278783676044,0.7642052620134812,0.7854,-0.0184,2.59,-0.76,0.1219999999999999,0.001,1.0391292682332325,0.0362573597867714,0.0890507109593718,-0.0138079636677662,0.456568346369603,-1.212962962962963,3.914837962962963,2.179948060149735,0.7144958333333334,2.3561805555555555,0.110986111111111,0.945318987073288,0.0810114106644285,0.4882734937737493,0.4801616914115236,5
2026-04-12,5,NC,13,6,7,0,0.462,3.0,4승0무6패,6패,4-0-3,2-0-4,2026,4.0,0.0,6.0,0.4,4.0,0.0,3.0,0.5714285714285714,2.0,0.0,4.0,0.3333333333333333,-1,6,0.0902777777777777,131,0.238095238095238,4,,,,,0.0,0.0,0.26,732,1254,128,685,1921,5570,4816,0.344,0.399,0.743,504,1090,4.82,1.5,766,680,146,621,1075,1270.0,116,0.978,119,7,80,36,31.0,250,186,64,74.4,45,14,-34,0.4773147570774466,1.7310789049919484,0.139,0.0904847396768402,0.2656,47,271,0.7572,0.8029999999999999,1.060486001056524,0.3588,0.3984,4.074,1.334,631.6666666666667,581,3.27,0.8039999999999998,0.5024205273475434,-0.0049017980862569,0.0,-6.0,4.55,-0.1799999999999997,3.951333333333333,-0.2059999999999995,1.951317333701075,-0.2670378558366768,0.7982666666666667,-0.0839999999999999,2.5866666666666664,0.7799999999999998,0.1366666666666666,-0.0149999999999998,1.0303823990783385,0.0757816105033459,0.089178380609098,0.001375828785751,0.457063118628668,0.0,4.139236111111112,1.7751567410752838,0.726200925925926,2.353148148148148,0.1243287037037036,0.9373617658282108,0.0811275545818877,0.4563207508578512,0.4487397869268938,6
2026-04-12,5,KIA,13,6,7,0,0.462,3.0,5승0무5패,4승,2-0-3,4-0-4,2026,5.0,0.0,5.0,0.5,2.0,0.0,3.0,0.4,4.0,0.0,4.0,0.5,1,4,0.0902777777777777,131,-0.0999999999999999,4,,,,,0.0,0.0,0.258,668,1276,144,624,1972,5619,4944,0.335,0.399,0.734,526,1211,4.66,1.43,734,660,110,511,1058,1274.6666666666667,123,0.977,127,8,111,41,27.0,99,77,22,77.8,44,7,-66,0.4530284878880789,2.0704500978473583,0.141,0.0936109628047695,0.2755999999999999,88,308,0.8107999999999999,0.8353333333333333,1.030258181220194,0.353,0.4578,3.816,1.272,661.6666666666667,551,2.25,1.5659999999999998,0.5230296382334266,-0.1079673627343277,36.333333333333336,-165.0,4.396666666666667,0.2599999999999998,3.8053333333333335,-0.0240000000000009,1.9650790886998577,-0.016748417922586,0.8228666666666666,-0.0576,2.5799999999999996,-0.2799999999999998,0.1376666666666666,-0.017,1.029481186209513,-0.0026759505163327,0.0912679305086734,0.0025923805611357,0.4758116847817978,33.05324074074075,3.999745370370371,1.787676115414454,0.7485800925925926,2.3470833333333334,0.1252384259259258,0.9365419124544876,0.0830284645599737,0.33750639781647396,0.33189932466999966,7
2026-04-12,8,롯데,13,5,8,0,0.385,4.0,3승0무7패,1패,1-0-4,4-0-4,2026,3.0,0.0,7.0,0.3,1.0,0.0,4.0,0.2,4.0,0.0,4.0,0.5,-1,1,0.0902777777777777,131,-0.3,4,,,,,1.0,1.0,0.267,676,1318,75,629,1837,5682,4944,0.346,0.372,0.718,530,1030,4.75,1.49,749,676,128,560,1173,1280.0,111,0.979,117,13,104,23,18.1,119,91,28,76.5,51,2,-73,0.4489060165406487,2.094642857142857,0.1049999999999999,0.0932770151355156,0.2802,43,319,0.7752,0.7833333333333333,1.0104919160646717,0.3676,0.4075999999999999,4.258,1.4919999999999998,616.6666666666666,569,2.67,1.588,0.4834932489209291,-0.0579988645163422,-23.0,-84.0,4.65,-0.2999999999999998,4.274,-0.2360000000000006,2.0894816510683976,-0.0678810434307566,0.7912,-0.085,2.76,-0.6800000000000002,0.1156666666666666,-0.04,1.011283339515302,0.0157620082912857,0.0908557181938544,0.007602370667947,0.4398445528377897,-20.92361111111111,4.2302083333333345,1.9008478909025008,0.7197722222222224,2.5108333333333333,0.1052245370370369,0.9199869269201708,0.0826534658569092,0.30263213691482327,0.29760443806486564,8
2026-04-12,9,두산,13,4,8,1,0.333,4.5,3승0무7패,2패,2-0-3,2-1-5,2026,3.0,0.0,7.0,0.3,2.0,0.0,3.0,0.4,2.0,1.0,5.0,0.25,-1,2,0.0902777777777777,131,0.15,4,,,,,1.5,2.0,0.262,647,1298,102,592,1898,5581,4952,0.331,0.383,0.714,469,1169,4.3,1.38,686,612,109,542,1054,1280.0,120,0.977,123,12,103,43,29.5,187,144,43,77.0,58,8,-39,0.4707677082337593,1.944649446494465,0.121,0.0840351191542734,0.2741999999999999,63,301,0.7776,0.8186666666666667,1.05281207133059,0.3536,0.4239999999999999,4.122000000000001,1.3039999999999998,653.3333333333333,524,2.81,1.3120000000000007,0.4978026941153436,-0.0558886653623998,-1.0,-80.0,4.346666666666667,-0.5200000000000005,4.032,-0.4599999999999999,1.939295861866956,0.0933673952124138,0.7842666666666666,-0.0415999999999998,2.4600000000000004,0.73,0.1289999999999999,-0.0269999999999999,1.0221729411875775,0.0986291286222563,0.0883373353723586,-0.0057536132400927,0.4528621731188196,-0.9097222222222224,3.95425925925926,1.764220541003967,0.7134648148148148,2.237916666666667,0.1173541666666665,0.929893439552588,0.0803624370401318,0.2407056968541181,0.2367067965139592,9
2026-04-12,10,키움,13,4,9,0,0.308,5.0,4승0무6패,1승,2-0-4,2-0-5,2026,4.0,0.0,6.0,0.4,2.0,0.0,4.0,0.3333333333333333,2.0,0.0,5.0,0.2857142857142857,1,1,0.0902777777777777,131,0.0476190476190476,4,,,,,2.0,2.0,0.244,581,1202,104,540,1771,5508,4935,0.312,0.359,0.671,439,1221,5.39,1.57,860,760,146,550,937,1269.0,119,0.977,111,13,107,53,33.1,98,83,15,84.7,38,5,-279,0.3133802653456632,1.7036363636363636,0.1149999999999999,0.0797022512708787,0.2653999999999999,67,301,0.7565999999999999,0.7923333333333332,1.0472288307339852,0.3412,0.4154,5.1819999999999995,1.564,521.6666666666667,376,3.23,1.9519999999999995,0.3839258045874154,-0.1027494803233379,-168.66666666666666,-155.0,4.99,0.2299999999999995,4.574,0.5839999999999996,1.7883419175339117,-0.1494823486372785,0.7780666666666667,-0.0722,2.9933333333333336,-0.1299999999999999,0.1076666666666665,-0.001,1.013892306310691,0.048596269601424,0.0836472982079707,-0.0070549344106589,0.3492658361177181,-153.4398148148148,4.53951388888889,1.6268943833121003,0.7078245370370372,2.7231018518518524,0.0979467592592591,0.922360361990976,0.07609580600864,0.12178925035974236,0.11976593690660695,10
2026-04-14,1,LG,14,10,4,0,0.714,0.0,9승0무1패,8승,6-0-3,4-0-1,2026,9.0,0.0,1.0,0.9,6.0,0.0,3.0,0.6666666666666666,4.0,0.0,1.0,0.8,1,8,0.0972222222222222,130,-0.1333333333333334,4,,,,,,,0.278,788,1366,130,732,2013,5713,4919,0.361,0.409,0.77,604,975,3.79,1.35,584,539,91,491,1080,1279.3333333333333,92,0.983,137,7,95,23,19.5,170,121,49,71.2,49,7,204,0.6454719334719334,2.19959266802444,0.1309999999999999,0.1057237878522667,0.2935999999999999,43,372,0.7778,0.7873333333333333,1.0122567926630668,0.3807999999999999,0.3969999999999999,3.338,1.27,705.0,564,2.4,0.9380000000000002,0.603322398033369,0.0935295029990408,147.0,124.0,4.03,-0.8399999999999999,3.692,-0.7779999999999996,2.0782593295577487,0.154224047986633,0.8053333333333333,-0.0547999999999999,2.516666666666667,-0.5700000000000003,0.1256666666666666,-1.1102230246251563e-16,1.0355417861171397,-0.0658919782553415,0.1052788492990672,-0.0018744654228423,0.5446660537801248,132.70833333333334,3.6381944444444447,1.8762063391840784,0.727037037037037,2.271990740740741,0.113449074074074,0.9348641124668622,0.0950434056172134,0.9270997298170796,0.9219058719757839,1
2026-04-14,2,삼성,14,9,4,1,0.692,0.5,8승0무2패,4승,5-1-2,4-0-2,2026,8.0,0.0,2.0,0.8,5.0,1.0,2.0,0.625,4.0,0.0,2.0,0.6666666666666666,1,4,0.0972222222222222,130,-0.0416666666666666,4,,,,,,,0.271,775,1330,161,728,2090,5671,4899,0.353,0.427,0.78,564,1087,4.12,1.35,647,581,132,455,1048,1268.6666666666667,87,0.984,122,12,107,26,19.5,130,98,32,75.4,53,3,128,0.5892905848902215,2.303296703296703,0.1559999999999999,0.099453359195909,0.2934,113,454,0.8802,0.91,1.033855941831402,0.377,0.5032,3.764,1.2919999999999998,668.0,517,2.6,1.164,0.518786133897745,0.05507954404817,29.0,77.0,4.466666666666667,-0.5599999999999996,3.854000000000001,-0.4520000000000004,2.098434680274303,0.2487893657704978,0.8346,0.0233999999999999,2.856666666666667,-0.8300000000000001,0.1399999999999999,-0.003,0.994330888285518,0.0071674886723605,0.0933068859435735,0.0062464081690528,0.4683485931021309,26.180555555555557,4.032407407407407,1.894420197469857,0.7534583333333333,2.5789351851851854,0.1263888888888888,0.8976598297022037,0.0842353831435038,0.7725108371168921,0.768183027130757,2
2026-04-14,3,KT,14,9,5,0,0.643,1.0,5승0무5패,1패,3-0-3,6-0-2,2026,5.0,0.0,5.0,0.5,3.0,0.0,3.0,0.5,6.0,0.0,2.0,0.75,-1,1,0.0972222222222222,130,-0.25,4,,,,,,,0.253,648,1228,104,613,1788,5588,4845,0.337,0.369,0.706,555,1044,4.09,1.4,657,581,112,433,1067,1278.3333333333333,103,0.981,105,6,128,32,20.0,72,48,24,66.7,40,9,-9,0.4931037762769903,2.464203233256351,0.1159999999999999,0.0993199713672154,0.2786,52,277,0.7694,0.816,1.0605666753314271,0.3656,0.4038,3.926,1.346,702.6666666666667,615,3.12,0.8059999999999996,0.5043203938927193,0.0166425972909167,3.3333333333333335,28.0,4.38,-1.0200000000000005,4.028666666666667,-0.8259999999999996,2.4439103102395414,-0.0594987983463579,0.7852,-0.0456,3.08,-0.3999999999999999,0.1199999999999998,-0.022,1.0291670474396144,0.0294828307506502,0.0973140036041686,-0.0005422875859525,0.4552892444864827,3.0092592592592595,3.9541666666666666,2.2063079189662527,0.7088611111111112,2.780555555555555,0.1083333333333331,0.929109140049652,0.0878529199204299,0.6412333143835062,0.637640955793705,3
2026-04-14,4,NC,14,7,7,0,0.5,3.0,4승0무6패,1승,5-0-3,2-0-4,2026,4.0,0.0,6.0,0.4,5.0,0.0,3.0,0.625,2.0,0.0,4.0,0.3333333333333333,1,1,0.0972222222222222,130,0.2916666666666667,4,,,,,,,0.26,732,1254,128,685,1921,5570,4816,0.344,0.399,0.743,504,1090,4.82,1.5,766,680,146,621,1075,1270.0,116,0.978,119,7,80,36,31.0,250,186,64,74.4,45,14,-34,0.4773147570774466,1.7310789049919484,0.139,0.0904847396768402,0.2656,47,271,0.7572,0.8029999999999999,1.060486001056524,0.3588,0.3984,4.074,1.334,631.6666666666667,581,3.27,0.8039999999999998,0.5024205273475434,-0.0049017980862569,0.0,-6.0,4.55,-0.1799999999999997,3.951333333333333,-0.2059999999999995,1.951317333701075,-0.2670378558366768,0.7982666666666667,-0.0839999999999999,2.5866666666666664,0.7799999999999998,0.1366666666666666,-0.0149999999999998,1.0303823990783385,0.0757816105033459,0.089178380609098,0.001375828785751,0.4535740871887544,0.0,4.107638888888888,1.761605926257915,0.7206574074074075,2.335185185185185,0.1233796296296295,0.9302063325012778,0.0805082602721023,0.5512908063584047,0.5482023294822398,4
2026-04-14,4,SSG,14,7,7,0,0.5,3.0,4승0무6패,6패,4-0-4,3-0-3,2026,4.0,0.0,6.0,0.4,4.0,0.0,4.0,0.5,3.0,0.0,3.0,0.5,-1,6,0.0972222222222222,130,0.0,4,,,,,,,0.256,609,1249,127,578,1833,5517,4875,0.33,0.376,0.706,493,1159,3.63,1.3,576,517,115,510,1193,1283.3333333333333,106,0.98,139,4,110,46,29.5,176,129,47,73.3,40,3,33,0.527826521332599,2.33921568627451,0.12,0.0893601595069784,0.2708,46,253,0.7232000000000001,0.7496666666666667,1.0365966076696165,0.3438,0.3794,3.478,1.22,635.6666666666666,649,1.6,1.878,0.4871537721748522,0.0647188472750427,-21.666666666666668,91.0,4.416666666666667,-1.62,4.146666666666667,-1.2680000000000002,1.9425147836912544,0.4423902894491132,0.7840666666666668,-0.1240000000000001,2.3633333333333333,-1.2999999999999998,0.1319999999999999,-0.0269999999999999,1.0550215668662242,-0.028087056164189,0.0875478263737302,0.0061301258607946,0.4397915998800749,-19.560185185185187,3.987268518518519,1.7536591797212713,0.7078379629629631,2.133564814814815,0.1191666666666665,0.9524500256431192,0.0790362321429508,0.521659360921244,0.5187368872379212,5
2026-04-14,4,KIA,14,7,7,0,0.5,3.0,6승0무4패,5승,3-0-3,4-0-4,2026,6.0,0.0,4.0,0.6,3.0,0.0,3.0,0.5,4.0,0.0,4.0,0.5,1,5,0.0972222222222222,130,0.0,4,,,,,,,0.258,668,1276,144,624,1972,5619,4944,0.335,0.399,0.734,526,1211,4.66,1.43,734,660,110,511,1058,1274.6666666666667,123,0.977,127,8,111,41,27.0,99,77,22,77.8,44,7,-66,0.4530284878880789,2.0704500978473583,0.141,0.0936109628047695,0.2755999999999999,88,308,0.8107999999999999,0.8353333333333333,1.030258181220194,0.353,0.4578,3.816,1.272,661.6666666666667,551,2.25,1.5659999999999998,0.5230296382334266,-0.1079673627343277,36.333333333333336,-165.0,4.396666666666667,0.2599999999999998,3.8053333333333335,-0.0240000000000009,1.9650790886998577,-0.016748417922586,0.8228666666666666,-0.0576,2.5799999999999996,-0.2799999999999998,0.1376666666666666,-0.017,1.029481186209513,-0.0026759505163327,0.0912679305086734,0.0025923805611357,0.4721795345162879,32.80092592592593,3.969212962962964,1.7740297328540382,0.7428657407407407,2.329166666666666,0.1242824074074073,0.9293927375502548,0.0823946594869968,0.45710372534236215,0.45454290940012976,6
2026-04-14,7,한화,14,6,8,0,0.429,4.0,4승0무6패,4패,2-0-7,4-0-1,2026,4.0,0.0,6.0,0.4,2.0,0.0,7.0,0.2222222222222222,4.0,0.0,1.0,0.8,-1,4,0.0972222222222222,130,-0.5777777777777778,4,,,,,,,0.266,689,1303,116,643,1933,5547,4892,0.335,0.395,0.73,439,1038,3.55,1.27,554,509,102,450,1339,1290.3333333333333,86,0.984,100,11,96,39,28.9,139,101,38,72.7,50,15,135,0.6073420270534788,2.9755555555555557,0.129,0.079141878492879,0.286,75,362,0.7956,0.8293333333333334,1.0423998659292777,0.3546,0.441,3.718,1.228,700.3333333333333,790,1.89,1.828,0.5018766555513193,0.1302807639724895,-1.3333333333333333,170.0,4.303333333333334,-1.4300000000000006,4.012,-0.9419999999999992,2.396278783676044,0.7642052620134812,0.7854,-0.0184,2.59,-0.76,0.1219999999999999,0.001,1.0391292682332325,0.0362573597867714,0.0890507109593718,-0.0138079636677662,0.4530830918171633,-1.2037037037037035,3.884953703703704,2.1633072352630953,0.7090416666666667,2.3381944444444445,0.1101388888888888,0.938102811599446,0.0803930029494328,0.40610589878678394,0.4038307861543745,7
2026-04-14,9,롯데,14,5,9,0,0.357,5.0,3승0무7패,2패,1-0-4,4-0-5,2026,3.0,0.0,7.0,0.3,1.0,0.0,4.0,0.2,4.0,0.0,5.0,0.4444444444444444,-1,2,0.0972222222222222,130,-0.2444444444444444,4,,,,,,,0.267,676,1318,75,629,1837,5682,4944,0.346,0.372,0.718,530,1030,4.75,1.49,749,676,128,560,1173,1280.0,111,0.979,117,13,104,23,18.1,119,91,28,76.5,51,2,-73,0.4489060165406487,2.094642857142857,0.1049999999999999,0.0932770151355156,0.2802,43,319,0.7752,0.7833333333333333,1.0104919160646717,0.3676,0.4075999999999999,4.258,1.4919999999999998,616.6666666666666,569,2.67,1.588,0.4834932489209291,-0.0579988645163422,-23.0,-84.0,4.65,-0.2999999999999998,4.274,-0.2360000000000006,2.0894816510683976,-0.0678810434307566,0.7912,-0.085,2.76,-0.6800000000000002,0.1156666666666666,-0.04,1.011283339515302,0.0157620082912857,0.0908557181938544,0.007602370667947,0.4364869608313943,-20.76388888888889,4.197916666666667,1.88633760165897,0.7142777777777778,2.4916666666666667,0.1044212962962962,0.9129641259513144,0.0820225233694519,0.31772945448490475,0.31594945006303676,8
2026-04-14,8,두산,14,5,8,1,0.385,4.5,4승0무6패,1승,2-0-3,3-1-5,2026,4.0,0.0,6.0,0.4,2.0,0.0,3.0,0.4,3.0,1.0,5.0,0.3333333333333333,1,1,0.0972222222222222,130,0.0666666666666667,4,,,,,,,0.262,647,1298,102,592,1898,5581,4952,0.331,0.383,0.714,469,1169,4.3,1.38,686,612,109,542,1054,1280.0,120,0.977,123,12,103,43,29.5,187,144,43,77.0,58,8,-39,0.4707677082337593,1.944649446494465,0.121,0.0840351191542734,0.2741999999999999,63,301,0.7776,0.8186666666666667,1.05281207133059,0.3536,0.4239999999999999,4.122000000000001,1.3039999999999998,653.3333333333333,524,2.81,1.3120000000000007,0.4978026941153436,-0.0558886653623998,-1.0,-80.0,4.346666666666667,-0.5200000000000005,4.032,-0.4599999999999999,1.939295861866956,0.0933673952124138,0.7842666666666666,-0.0415999999999998,2.4600000000000004,0.73,0.1289999999999999,-0.0269999999999999,1.0221729411875775,0.0986291286222563,0.0883373353723586,-0.0057536132400927,0.4494052099652407,-0.9027777777777778,3.924074074074074,1.750753208629891,0.7080185185185184,2.2208333333333337,0.1164583333333332,0.9227950163498964,0.0797489833222681,0.29588372426049825,0.2942261053960581,9
2026-04-14,10,키움,14,4,10,0,0.286,6.0,3승0무7패,1패,2-0-4,2-0-6,2026,3.0,0.0,7.0,0.3,2.0,0.0,4.0,0.3333333333333333,2.0,0.0,6.0,0.25,-1,1,0.0972222222222222,130,0.0833333333333333,4,,,,,,,0.244,581,1202,104,540,1771,5508,4935,0.312,0.359,0.671,439,1221,5.39,1.57,860,760,146,550,937,1269.0,119,0.977,111,13,107,53,33.1,98,83,15,84.7,38,5,-279,0.3133802653456632,1.7036363636363636,0.1149999999999999,0.0797022512708787,0.2653999999999999,67,301,0.7565999999999999,0.7923333333333332,1.0472288307339852,0.3412,0.4154,5.1819999999999995,1.564,521.6666666666667,376,3.23,1.9519999999999995,0.3839258045874154,-0.1027494803233379,-168.66666666666666,-155.0,4.99,0.2299999999999995,4.574,0.5839999999999996,1.7883419175339117,-0.1494823486372785,0.7780666666666667,-0.0722,2.9933333333333336,-0.1299999999999999,0.1076666666666665,-0.001,1.013892306310691,0.048596269601424,0.0836472982079707,-0.0070549344106589,0.3465996846969722,-152.2685185185185,4.504861111111111,1.6144753422181148,0.7024212962962963,2.702314814814815,0.0971990740740739,0.9153194431971516,0.0755149219933069,0.1375522816208627,0.13678167736599406,10
2026-04-15,2,LG,15,10,5,0,0.667,0.5,8승0무2패,1패,6-0-4,4-0-1,2026,8.0,0.0,2.0,0.8,6.0,0.0,4.0,0.6,4.0,0.0,1.0,0.8,-1,1,0.1041666666666666,129,-0.2,4,,,,,,,0.278,788,1366,130,732,2013,5713,4919,0.361,0.409,0.77,604,975,3.79,1.35,584,539,91,491,1080,1279.3333333333333,92,0.983,137,7,95,23,19.5,170,121,49,71.2,49,7,204,0.6454719334719334,2.19959266802444,0.1309999999999999,0.1057237878522667,0.2935999999999999,43,372,0.7778,0.7873333333333333,1.0122567926630668,0.3807999999999999,0.3969999999999999,3.338,1.27,705.0,564,2.4,0.9380000000000002,0.603322398033369,0.0935295029990408,147.0,124.0,4.03,-0.8399999999999999,3.692,-0.7779999999999996,2.0782593295577487,0.154224047986633,0.8053333333333333,-0.0547999999999999,2.516666666666667,-0.5700000000000003,0.1256666666666666,-1.1102230246251563e-16,1.0355417861171397,-0.0658919782553415,0.1052788492990672,-0.0018744654228423,0.540476314904893,131.6875,3.610208333333334,1.861773982728817,0.7214444444444444,2.25451388888889,0.1125763888888888,0.9276728500632708,0.094312302497081,0.925899397462763,0.9342732924887949,1
2026-04-15,1,삼성,15,10,4,1,0.714,0.0,8승0무2패,5승,5-1-2,5-0-2,2026,8.0,0.0,2.0,0.8,5.0,1.0,2.0,0.625,5.0,0.0,2.0,0.7142857142857143,1,5,0.1041666666666666,129,-0.0892857142857143,4,,,,,,,0.271,775,1330,161,728,2090,5671,4899,0.353,0.427,0.78,564,1087,4.12,1.35,647,581,132,455,1048,1268.6666666666667,87,0.984,122,12,107,26,19.5,130,98,32,75.4,53,3,128,0.5892905848902215,2.303296703296703,0.1559999999999999,0.099453359195909,0.2934,113,454,0.8802,0.91,1.033855941831402,0.377,0.5032,3.764,1.2919999999999998,668.0,517,2.6,1.164,0.518786133897745,0.05507954404817,29.0,77.0,4.466666666666667,-0.5599999999999996,3.854000000000001,-0.4520000000000004,2.098434680274303,0.2487893657704978,0.8346,0.0233999999999999,2.856666666666667,-0.8300000000000001,0.1399999999999999,-0.003,0.994330888285518,0.0071674886723605,0.0933068859435735,0.0062464081690528,0.4647459116167299,25.979166666666668,4.001388888888889,1.8798477344123965,0.7476625,2.5590972222222224,0.1254166666666666,0.8907547540891099,0.0835874186577846,0.779758329451111,0.786810515049666,2
2026-04-15,2,KT,15,10,5,0,0.667,0.5,5승0무5패,1승,3-0-3,7-0-2,2026,5.0,0.0,5.0,0.5,3.0,0.0,3.0,0.5,7.0,0.0,2.0,0.7777777777777778,1,1,0.1041666666666666,129,-0.2777777777777778,4,,,,,,,0.253,648,1228,104,613,1788,5588,4845,0.337,0.369,0.706,555,1044,4.09,1.4,657,581,112,433,1067,1278.3333333333333,103,0.981,105,6,128,32,20.0,72,48,24,66.7,40,9,-9,0.4931037762769903,2.464203233256351,0.1159999999999999,0.0993199713672154,0.2786,52,277,0.7694,0.816,1.0605666753314271,0.3656,0.4038,3.926,1.346,702.6666666666667,615,3.12,0.8059999999999996,0.5043203938927193,0.0166425972909167,3.3333333333333335,28.0,4.38,-1.0200000000000005,4.028666666666667,-0.8259999999999996,2.4439103102395414,-0.0594987983463579,0.7852,-0.0456,3.08,-0.3999999999999999,0.1199999999999998,-0.022,1.0291670474396144,0.0294828307506502,0.0973140036041686,-0.0005422875859525,0.4517870195288944,2.986111111111111,3.92375,2.1893363195895894,0.7034083333333334,2.7591666666666668,0.1074999999999998,0.9219621466646546,0.0871771282287343,0.6504801074155224,0.6563630922742945,3
2026-04-15,4,SSG,15,8,7,0,0.533,2.5,4승0무6패,1승,5-0-4,3-0-3,2026,4.0,0.0,6.0,0.4,5.0,0.0,4.0,0.5555555555555556,3.0,0.0,3.0,0.5,1,1,0.1041666666666666,129,0.0555555555555555,4,,,,,,,0.256,609,1249,127,578,1833,5517,4875,0.33,0.376,0.706,493,1159,3.63,1.3,576,517,115,510,1193,1283.3333333333333,106,0.98,139,4,110,46,29.5,176,129,47,73.3,40,3,33,0.527826521332599,2.33921568627451,0.12,0.0893601595069784,0.2708,46,253,0.7232000000000001,0.7496666666666667,1.0365966076696165,0.3438,0.3794,3.478,1.22,635.6666666666666,649,1.6,1.878,0.4871537721748522,0.0647188472750427,-21.666666666666668,91.0,4.416666666666667,-1.62,4.146666666666667,-1.2680000000000002,1.9425147836912544,0.4423902894491132,0.7840666666666668,-0.1240000000000001,2.3633333333333333,-1.2999999999999998,0.1319999999999999,-0.0269999999999999,1.0550215668662242,-0.028087056164189,0.0875478263737302,0.0061301258607946,0.4364085875733051,-19.409722222222225,3.9565972222222223,1.7401694937234156,0.7023930555555558,2.1171527777777777,0.1182499999999999,0.945123486984326,0.0784282611264666,0.5462068361326383,0.5511467666702426,4
